Id;EntityCreatedAt;EntityModifiedAt;MRID;DocStatusValue;AttributeInstanceComponent;LongNames;DisplayNames;LastRequestDateAndOrTime;DeactivateRequestDateAndOrTime;MarketParticipantStreetAddressCountry;MarketParticipantACERCode;MarketParticipantVATcode;Description;EICParentMarketDocumentMRID;ELCResponsibleMarketParticipantMRID;IsDeleted;AllocatedEICID
49999;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22X20110811----W;A05;International;INEOS CHLORVINYLS LIMITED;BE_INEOS_CV_LVM;2014-02-03 00:00:00.0000000;NULL;BE;;GB768506886;Trade Responsible Party;NULL;NULL;0;3
50000;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22X20111107----D;A05;International;BASF ANTWERPEN NV;BE_BASANT;2011-11-07 00:00:00.0000000;NULL;BE;;BE0404754472;Consumer;NULL;NULL;0;3
50001;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22WZELZAT1502618;A05;International;Zelzate 2 Knippegroen;BE_GU_ZELZAT2KNI;2017-02-16 00:00:00.0000000;NULL;BE;;NULL;NULL;NULL;11XELECTRABEL--Z;0;3
50002;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22X201809163---F;A05;International;Prima LNG;BE_PRIMA_LNG;2018-09-16 00:00:00.0000000;NULL;BE;;BE0508915349;NULL;NULL;NULL;0;3
50003;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22WCOOXIX000067T;A05;International;COO I T;BE_PU_COOIT;2017-02-16 00:00:00.0000000;NULL;BE;;NULL;NULL;NULL;11XELECTRABEL--Z;0;3
50004;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22WCOOX6X000064W;A05;International;COO 6 T;BE_GU_COO6T;2017-02-16 00:00:00.0000000;NULL;BE;;NULL;NULL;NULL;11XELECTRABEL--Z;0;3
50005;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100512--Y;A05;International;150.7 LANGERLO-NIEUWPOORT;BE7_LANGE_NIEUW;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50006;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100513--U;A05;International;150.8 LANGERLO-NIEUWPOORT;BE8_LANGE_NIEUW;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50007;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100514--Q;A05;International;150.145 BLATOR-ZEEBRUGGE;BE145_BLTOR_ZEEB;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50008;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100515--M;A05;International;150.74 HELIA-SCARB;BE74_HELIA_SCARB;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
